,model,config,parameters,neg_mean_squared_error,neg_root_mean_squared_error,r2,explained_variance
119,RandomForestRegressor(),dim_30_budget_10000_conf_8,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-15739.28228452954,-120.1996942470611,0.5549380582448752,0.5632978410662555
120,DummyRegressor(),dim_30_budget_2000_conf_7,{'strategy': 'mean'},-128846717.51743121,-11285.841187075323,-0.001340348468421393,8.881784197001253e-17
121,RandomForestRegressor(),dim_30_budget_2000_conf_7,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-24869290.19808426,-4566.306745309497,0.8233149953417744,0.8255535717181429
122,DummyRegressor(),dim_30_budget_10000_conf_810,{'strategy': 'mean'},-76479.24930381653,-273.8193768287176,-0.002379517220540928,2.2204460492503132e-17
123,RandomForestRegressor(),dim_30_budget_10000_conf_810,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-22548.58765269268,-145.87978321648342,0.7187314939782123,0.7227238104559321
124,DummyRegressor(),dim_30_budget_2000_conf_8,{'strategy': 'mean'},-29587677.720749073,-5364.045225509212,-0.006734949897520171,-4.4408920985006264e-17
125,RandomForestRegressor(),dim_30_budget_2000_conf_8,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-12234237.104268294,-3466.0695658771365,0.527953233829297,0.5319614326004624
126,DummyRegressor(),dim_30_budget_10000_conf_811,{'strategy': 'mean'},-46496.73358031299,-211.63837043511973,-0.006890587805900905,4.4408920985006264e-17
127,RandomForestRegressor(),dim_30_budget_10000_conf_811,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-23768.03416072244,-150.18194007919087,0.49551300093040923,0.5074952539273783
128,DummyRegressor(),dim_30_budget_2000_conf_810,{'strategy': 'mean'},-231284937.91608125,-15096.266840736818,-0.0016980526333979285,-2.2204460492503132e-17
